"","exp_phase","age_group","condition","language","random_id","trial_order","noun","marker1","marker2","correct_choice","choice","is_correct"
"708","2afc","child","5R4E","A","OXq608k0",5,"zup","lee","bae","lee","lee",1
"709","2afc","child","5R4E","A","OXq608k0",6,"tomber","po","ka","po","po",1
"710","2afc","child","5R4E","A","OXq608k0",7,"zup","lee","tay","lee","lee",1
"711","2afc","child","5R4E","A","OXq608k0",8,"mawg","ka","po","ka","ka",1
"712","2afc","child","5R4E","A","OXq608k0",9,"flairb","bae","ka","ka","ka",1
"713","2afc","child","5R4E","A","OXq608k0",10,"daygin","lee","bae","bae","lee",0
"714","2afc","child","5R4E","A","OXq608k0",11,"zup","ka","lee","lee","lee",1
"715","2afc","child","5R4E","A","OXq608k0",12,"glim","tay","ka","ka","tay",0
"716","2afc","child","5R4E","A","OXq608k0",13,"lepal","ka","tay","ka","ka",1
"717","2afc","child","5R4E","A","OXq608k0",14,"tomber","po","lee","po","po",1
"718","2afc","child","5R4E","A","OXq608k0",15,"glim","ka","po","ka","ka",1
"719","2afc","child","5R4E","A","OXq608k0",16,"lepal","po","ka","ka","ka",1
"720","2afc","child","5R4E","A","OXq608k0",17,"klidam","po","tay","tay","po",0
"721","2afc","child","5R4E","A","OXq608k0",18,"spad","tay","ka","ka","ka",1
"722","2afc","child","5R4E","A","OXq608k0",19,"mawg","ka","bae","ka","ka",1
"723","2afc","child","5R4E","A","OXq608k0",20,"glim","ka","bae","ka","ka",1
"724","2afc","child","5R4E","A","OXq608k0",21,"lepal","bae","ka","ka","ka",1
"725","2afc","child","5R4E","A","OXq608k0",22,"daygin","bae","po","bae","po",0
"726","2afc","child","5R4E","A","OXq608k0",23,"mawg","lee","ka","ka","lee",0
"727","2afc","child","5R4E","A","OXq608k0",24,"spad","lee","ka","ka","ka",1
"728","2afc","child","5R4E","A","OXq608k0",25,"daygin","bae","ka","bae","ka",0
"729","2afc","child","5R4E","A","OXq608k0",26,"klidam","ka","tay","tay","ka",0
"730","2afc","child","5R4E","A","pENKfd78",0,"zup","ka","lee","lee","lee",1
"731","2afc","child","5R4E","A","pENKfd78",1,"lepal","bae","ka","ka","ka",1
"732","2afc","child","5R4E","A","pENKfd78",2,"flairb","po","ka","ka","po",0
"733","2afc","child","5R4E","A","pENKfd78",3,"klidam","ka","tay","tay","ka",0
"734","2afc","child","5R4E","A","pENKfd78",4,"flairb","ka","lee","ka","ka",1
"735","2afc","child","5R4E","A","pENKfd78",5,"daygin","lee","bae","bae","bae",1
"736","2afc","child","5R4E","A","pENKfd78",6,"tomber","po","lee","po","po",1
"737","2afc","child","5R4E","A","pENKfd78",7,"tomber","tay","po","po","po",1
"738","2afc","child","5R4E","A","pENKfd78",8,"zup","lee","bae","lee","bae",0
"739","2afc","child","5R4E","A","pENKfd78",9,"glim","tay","ka","ka","ka",1
"740","2afc","child","5R4E","A","pENKfd78",10,"lepal","po","ka","ka","ka",1
"741","2afc","child","5R4E","A","pENKfd78",11,"mawg","lee","ka","ka","ka",1
"742","2afc","child","5R4E","A","pENKfd78",12,"spad","lee","ka","ka","ka",1
"743","2afc","child","5R4E","A","pENKfd78",13,"spad","tay","ka","ka","ka",1
"744","2afc","child","5R4E","A","pENKfd78",14,"daygin","bae","po","bae","po",0
"745","2afc","child","5R4E","A","pENKfd78",15,"lepal","ka","tay","ka","ka",1
"746","2afc","child","5R4E","A","pENKfd78",16,"tomber","po","ka","po","ka",0
"747","2afc","child","5R4E","A","pENKfd78",17,"spad","ka","bae","ka","ka",1
"748","2afc","child","5R4E","A","pENKfd78",18,"glim","ka","bae","ka","ka",1
"749","2afc","child","5R4E","A","pENKfd78",19,"klidam","po","tay","tay","tay",1
"750","2afc","child","5R4E","A","pENKfd78",20,"klidam","tay","lee","tay","tay",1
"751","2afc","child","5R4E","A","pENKfd78",21,"daygin","bae","ka","bae","ka",0
"752","2afc","child","5R4E","A","pENKfd78",22,"flairb","bae","ka","ka","ka",1
"753","2afc","child","5R4E","A","pENKfd78",23,"mawg","ka","po","ka","ka",1
"754","2afc","child","5R4E","A","pENKfd78",24,"glim","ka","po","ka","ka",1
"755","2afc","child","5R4E","A","pENKfd78",25,"mawg","ka","bae","ka","ka",1
"756","2afc","child","5R4E","A","pENKfd78",26,"zup","lee","tay","lee","lee",1
"757","2afc","child","5R4E","A","XP2fHc4D",0,"spad","lee","ka","ka","lee",0
"758","2afc","child","5R4E","A","XP2fHc4D",1,"tomber","po","lee","po","po",1
"759","2afc","child","5R4E","A","XP2fHc4D",2,"tomber","tay","po","po","po",1
"760","2afc","child","5R4E","A","XP2fHc4D",3,"zup","ka","lee","lee","lee",1
"761","2afc","child","5R4E","A","XP2fHc4D",4,"spad","ka","bae","ka","ka",1
"762","2afc","child","5R4E","A","XP2fHc4D",5,"flairb","po","ka","ka","po",0
"763","2afc","child","5R4E","A","XP2fHc4D",6,"klidam","po","tay","tay","po",0
"764","2afc","child","5R4E","A","XP2fHc4D",7,"spad","tay","ka","ka","ka",1
"765","2afc","child","5R4E","A","XP2fHc4D",8,"klidam","ka","tay","tay","tay",1
"766","2afc","child","5R4E","A","XP2fHc4D",9,"lepal","bae","ka","ka","ka",1
"767","2afc","child","5R4E","A","XP2fHc4D",10,"zup","lee","tay","lee","lee",1
"768","2afc","child","5R4E","A","XP2fHc4D",11,"daygin","bae","po","bae","bae",1
"769","2afc","child","5R4E","A","XP2fHc4D",12,"glim","ka","po","ka","ka",1
"770","2afc","child","5R4E","A","XP2fHc4D",13,"flairb","ka","lee","ka","lee",0
"771","2afc","child","5R4E","A","XP2fHc4D",14,"daygin","bae","ka","bae","bae",1
"772","2afc","child","5R4E","A","XP2fHc4D",15,"mawg","ka","po","ka","ka",1
"773","2afc","child","5R4E","A","XP2fHc4D",16,"lepal","po","ka","ka","ka",1
"774","2afc","child","5R4E","A","XP2fHc4D",17,"flairb","bae","ka","ka","ka",1
"775","2afc","child","5R4E","A","XP2fHc4D",18,"mawg","ka","bae","ka","ka",1
"776","2afc","child","5R4E","A","XP2fHc4D",19,"zup","lee","bae","lee","lee",1
"777","2afc","child","5R4E","A","XP2fHc4D",20,"daygin","lee","bae","bae","bae",1
"778","2afc","child","5R4E","A","XP2fHc4D",21,"mawg","lee","ka","ka","ka",1
"779","2afc","child","5R4E","A","XP2fHc4D",22,"lepal","ka","tay","ka","ka",1
"780","2afc","child","5R4E","A","XP2fHc4D",23,"klidam","tay","lee","tay","tay",1
"781","2afc","child","5R4E","A","XP2fHc4D",24,"glim","ka","bae","ka","ka",1
"782","2afc","child","5R4E","A","XP2fHc4D",25,"glim","tay","ka","ka","tay",0
"783","2afc","child","5R4E","A","XP2fHc4D",26,"tomber","po","ka","po","po",1
"784","2afc","child","5R4E","B","261YkRNf",0,"flairb","tay","po","tay","tay",1
"785","2afc","child","5R4E","B","261YkRNf",1,"mawg","po","ka","po","po",1
"786","2afc","child","5R4E","B","261YkRNf",2,"lepal","ka","tay","ka","tay",0
"787","2afc","child","5R4E","B","261YkRNf",3,"tomber","ka","po","ka","ka",1
"788","2afc","child","5R4E","B","261YkRNf",4,"tomber","tay","ka","ka","ka",1
"789","2afc","child","5R4E","B","261YkRNf",5,"zup","tay","ka","ka","tay",0
"790","2afc","child","5R4E","B","261YkRNf",6,"daygin","ka","bae","ka","ka",1
"791","2afc","child","5R4E","B","261YkRNf",7,"zup","ka","po","ka","po",0
"792","2afc","child","5R4E","B","261YkRNf",8,"spad","ka","bae","bae","ka",0
"793","2afc","child","5R4E","B","261YkRNf",9,"klidam","lee","ka","ka","lee",0
"794","2afc","child","5R4E","B","261YkRNf",10,"glim","lee","ka","lee","ka",0
"795","2afc","child","5R4E","B","261YkRNf",11,"mawg","po","lee","po","po",1
"796","2afc","child","5R4E","B","261YkRNf",12,"zup","ka","bae","ka","ka",1
"797","2afc","child","5R4E","B","261YkRNf",13,"tomber","ka","lee","ka","lee",0
"798","2afc","child","5R4E","B","261YkRNf",14,"lepal","po","ka","ka","po",0
"799","2afc","child","5R4E","B","261YkRNf",15,"daygin","po","ka","ka","po",0
"800","2afc","child","5R4E","B","261YkRNf",16,"flairb","ka","tay","tay","ka",0
"801","2afc","child","5R4E","B","261YkRNf",17,"klidam","po","ka","ka","ka",1
"802","2afc","child","5R4E","B","261YkRNf",18,"klidam","ka","bae","ka","ka",1
"803","2afc","child","5R4E","B","261YkRNf",19,"daygin","lee","ka","ka","ka",1
"804","2afc","child","5R4E","B","261YkRNf",20,"spad","bae","lee","bae","lee",0
"805","2afc","child","5R4E","B","261YkRNf",21,"glim","bae","lee","lee","lee",1
"806","2afc","child","5R4E","B","261YkRNf",22,"flairb","lee","tay","tay","lee",0
"807","2afc","child","5R4E","B","261YkRNf",23,"glim","tay","lee","lee","tay",0
"808","2afc","child","5R4E","B","261YkRNf",24,"mawg","tay","po","po","po",1
"809","2afc","child","5R4E","B","261YkRNf",25,"spad","bae","tay","bae","bae",1
"810","2afc","child","5R4E","B","261YkRNf",26,"lepal","bae","ka","ka","ka",1
"811","2afc","child","5R4E","B","4OBi0SLE",0,"lepal","bae","ka","ka","bae",0
"812","2afc","child","5R4E","B","4OBi0SLE",1,"tomber","tay","ka","ka","tay",0
"813","2afc","child","5R4E","B","4OBi0SLE",2,"spad","bae","tay","bae","tay",0
"814","2afc","child","5R4E","B","4OBi0SLE",3,"daygin","ka","bae","ka","ka",1
"815","2afc","child","5R4E","B","4OBi0SLE",4,"daygin","lee","ka","ka","lee",0
"816","2afc","child","5R4E","B","4OBi0SLE",5,"spad","ka","bae","bae","bae",1
"817","2afc","child","5R4E","B","4OBi0SLE",6,"mawg","tay","po","po","tay",0
"818","2afc","child","5R4E","B","4OBi0SLE",7,"mawg","po","lee","po","po",1
"819","2afc","child","5R4E","B","4OBi0SLE",8,"klidam","lee","ka","ka","lee",0
"820","2afc","child","5R4E","B","4OBi0SLE",9,"zup","ka","bae","ka","bae",0
"821","2afc","child","5R4E","B","4OBi0SLE",10,"glim","tay","lee","lee","lee",1
"822","2afc","child","5R4E","B","4OBi0SLE",11,"flairb","ka","tay","tay","ka",0
"823","2afc","child","5R4E","B","4OBi0SLE",12,"zup","ka","po","ka","po",0
"824","2afc","child","5R4E","B","4OBi0SLE",13,"zup","tay","ka","ka","ka",1
"825","2afc","child","5R4E","B","4OBi0SLE",14,"mawg","po","ka","po","po",1
"826","2afc","child","5R4E","B","4OBi0SLE",15,"lepal","po","ka","ka","po",0
"827","2afc","child","5R4E","B","4OBi0SLE",16,"lepal","ka","tay","ka","ka",1
"828","2afc","child","5R4E","B","4OBi0SLE",17,"tomber","ka","lee","ka","ka",1
"829","2afc","child","5R4E","B","4OBi0SLE",18,"flairb","lee","tay","tay","lee",0
"830","2afc","child","5R4E","B","4OBi0SLE",19,"klidam","ka","bae","ka","bae",0
"831","2afc","child","5R4E","B","4OBi0SLE",20,"tomber","ka","po","ka","ka",1
"832","2afc","child","5R4E","B","4OBi0SLE",21,"klidam","po","ka","ka","po",0
"833","2afc","child","5R4E","B","4OBi0SLE",22,"flairb","tay","po","tay","tay",1
"834","2afc","child","5R4E","B","4OBi0SLE",23,"glim","bae","lee","lee","lee",1
"835","2afc","child","5R4E","B","4OBi0SLE",24,"glim","lee","ka","lee","lee",1
"836","2afc","child","5R4E","B","4OBi0SLE",25,"daygin","po","ka","ka","ka",1
"837","2afc","child","5R4E","B","4OBi0SLE",26,"spad","bae","lee","bae","bae",1
"838","2afc","child","5R4E","B","CImhrbtp",0,"klidam","lee","ka","ka","lee",0
"839","2afc","child","5R4E","B","CImhrbtp",1,"daygin","po","ka","ka","ka",1
"840","2afc","child","5R4E","B","CImhrbtp",2,"daygin","ka","bae","ka","ka",1
"841","2afc","child","5R4E","B","CImhrbtp",3,"mawg","po","lee","po","po",1
"842","2afc","child","5R4E","B","CImhrbtp",4,"spad","bae","tay","bae","bae",1
"843","2afc","child","5R4E","B","CImhrbtp",5,"spad","ka","bae","bae","bae",1
"844","2afc","child","5R4E","B","CImhrbtp",6,"daygin","lee","ka","ka","lee",0
"845","2afc","child","5R4E","B","CImhrbtp",7,"tomber","tay","ka","ka","tay",0
"846","2afc","child","5R4E","B","CImhrbtp",8,"glim","tay","lee","lee","tay",0
"847","2afc","child","5R4E","B","CImhrbtp",9,"flairb","lee","tay","tay","lee",0
"848","2afc","child","5R4E","B","CImhrbtp",10,"spad","bae","lee","bae","lee",0
"849","2afc","child","5R4E","B","CImhrbtp",11,"flairb","ka","tay","tay","tay",1
"850","2afc","child","5R4E","B","CImhrbtp",12,"zup","ka","bae","ka","ka",1
"851","2afc","child","5R4E","B","CImhrbtp",13,"tomber","ka","po","ka","ka",1
"852","2afc","child","5R4E","B","CImhrbtp",14,"zup","ka","po","ka","ka",1
"853","2afc","child","5R4E","B","CImhrbtp",15,"lepal","po","ka","ka","ka",1
"854","2afc","child","5R4E","B","CImhrbtp",16,"zup","tay","ka","ka","tay",0
"855","2afc","child","5R4E","B","CImhrbtp",17,"klidam","po","ka","ka","po",0
"856","2afc","child","5R4E","B","CImhrbtp",18,"lepal","ka","tay","ka","ka",1
"857","2afc","child","5R4E","B","CImhrbtp",19,"flairb","tay","po","tay","tay",1
"858","2afc","child","5R4E","B","CImhrbtp",20,"klidam","ka","bae","ka","ka",1
"859","2afc","child","5R4E","B","CImhrbtp",21,"mawg","po","ka","po","po",1
"860","2afc","child","5R4E","B","CImhrbtp",22,"mawg","tay","po","po","po",1
"861","2afc","child","5R4E","B","CImhrbtp",23,"tomber","ka","lee","ka","ka",1
"862","2afc","child","5R4E","B","CImhrbtp",24,"glim","lee","ka","lee","lee",1
"863","2afc","child","5R4E","B","CImhrbtp",25,"lepal","bae","ka","ka","bae",0
"864","2afc","child","5R4E","B","CImhrbtp",26,"glim","bae","lee","lee","bae",0
"865","2afc","child","5R4E","B","NgJXGU3i",0,"klidam","po","ka","ka","ka",1
"866","2afc","child","5R4E","B","NgJXGU3i",1,"lepal","bae","ka","ka","bae",0
"867","2afc","child","5R4E","B","NgJXGU3i",2,"daygin","ka","bae","ka","ka",1
"868","2afc","child","5R4E","B","NgJXGU3i",3,"lepal","ka","tay","ka","ka",1
"869","2afc","child","5R4E","B","NgJXGU3i",4,"tomber","ka","lee","ka","ka",1
"870","2afc","child","5R4E","B","NgJXGU3i",5,"flairb","tay","po","tay","tay",1
"871","2afc","child","5R4E","B","NgJXGU3i",6,"zup","tay","ka","ka","ka",1
"872","2afc","child","5R4E","B","NgJXGU3i",7,"mawg","tay","po","po","tay",0
"873","2afc","child","5R4E","B","NgJXGU3i",8,"mawg","po","ka","po","po",1
"874","2afc","child","5R4E","B","NgJXGU3i",9,"spad","bae","lee","bae","bae",1
"875","2afc","child","5R4E","B","NgJXGU3i",10,"zup","ka","bae","ka","ka",1
"876","2afc","child","5R4E","B","NgJXGU3i",11,"tomber","tay","ka","ka","ka",1
"877","2afc","child","5R4E","B","NgJXGU3i",12,"spad","ka","bae","bae","ka",0
"878","2afc","child","5R4E","B","NgJXGU3i",13,"flairb","ka","tay","tay","ka",0
"879","2afc","child","5R4E","B","NgJXGU3i",14,"glim","tay","lee","lee","lee",1
"880","2afc","child","5R4E","B","NgJXGU3i",15,"tomber","ka","po","ka","ka",1
"881","2afc","child","5R4E","B","NgJXGU3i",16,"klidam","lee","ka","ka","lee",0
"882","2afc","child","5R4E","B","NgJXGU3i",17,"daygin","lee","ka","ka","lee",0
"883","2afc","child","5R4E","B","NgJXGU3i",18,"lepal","po","ka","ka","po",0
"884","2afc","child","5R4E","B","NgJXGU3i",19,"klidam","ka","bae","ka","ka",1
"885","2afc","child","5R4E","B","NgJXGU3i",20,"daygin","po","ka","ka","po",0
"886","2afc","child","5R4E","B","NgJXGU3i",21,"glim","bae","lee","lee","lee",1
"887","2afc","child","5R4E","B","NgJXGU3i",22,"zup","ka","po","ka","po",0
"888","2afc","child","5R4E","B","NgJXGU3i",23,"flairb","lee","tay","tay","lee",0
"889","2afc","child","5R4E","B","NgJXGU3i",24,"spad","bae","tay","bae","bae",1
"890","2afc","child","5R4E","B","NgJXGU3i",25,"mawg","po","lee","po","po",1
"891","2afc","child","5R4E","B","NgJXGU3i",26,"glim","lee","ka","lee","lee",1
"892","2afc","child","5R4E","B","sSeSQr3C",0,"flairb","lee","tay","tay","lee",0
"893","2afc","child","5R4E","B","sSeSQr3C",1,"zup","tay","ka","ka","ka",1
"894","2afc","child","5R4E","B","sSeSQr3C",2,"flairb","tay","po","tay","tay",1
"895","2afc","child","5R4E","B","sSeSQr3C",3,"daygin","lee","ka","ka","ka",1
"896","2afc","child","5R4E","B","sSeSQr3C",4,"klidam","po","ka","ka","ka",1
"897","2afc","child","5R4E","B","sSeSQr3C",5,"daygin","ka","bae","ka","ka",1
"898","2afc","child","5R4E","B","sSeSQr3C",6,"tomber","ka","po","ka","po",0
"899","2afc","child","5R4E","B","sSeSQr3C",7,"tomber","ka","lee","ka","ka",1
"900","2afc","child","5R4E","B","sSeSQr3C",8,"lepal","po","ka","ka","ka",1
"901","2afc","child","5R4E","B","sSeSQr3C",9,"zup","ka","po","ka","po",0
"902","2afc","child","5R4E","B","sSeSQr3C",10,"mawg","po","lee","po","lee",0
"903","2afc","child","5R4E","B","sSeSQr3C",11,"daygin","po","ka","ka","ka",1
"904","2afc","child","5R4E","B","sSeSQr3C",12,"glim","bae","lee","lee","bae",0
"905","2afc","child","5R4E","B","sSeSQr3C",13,"lepal","ka","tay","ka","ka",1
"906","2afc","child","5R4E","B","sSeSQr3C",14,"klidam","lee","ka","ka","ka",1
"907","2afc","child","5R4E","B","sSeSQr3C",15,"tomber","tay","ka","ka","ka",1
"908","2afc","child","5R4E","B","sSeSQr3C",16,"zup","ka","bae","ka","ka",1
"909","2afc","child","5R4E","B","sSeSQr3C",17,"flairb","ka","tay","tay","ka",0
"910","2afc","child","5R4E","B","sSeSQr3C",18,"mawg","po","ka","po","ka",0
"911","2afc","child","5R4E","B","sSeSQr3C",19,"glim","lee","ka","lee","ka",0
"912","2afc","child","5R4E","B","sSeSQr3C",20,"lepal","bae","ka","ka","ka",1
"913","2afc","child","5R4E","B","sSeSQr3C",21,"klidam","ka","bae","ka","ka",1
"914","2afc","child","5R4E","B","sSeSQr3C",22,"mawg","tay","po","po","po",1
"915","2afc","child","5R4E","B","sSeSQr3C",23,"spad","ka","bae","bae","ka",0
"916","2afc","child","5R4E","B","sSeSQr3C",24,"spad","bae","tay","bae","tay",0
"917","2afc","child","5R4E","B","sSeSQr3C",25,"glim","tay","lee","lee","tay",0
"918","2afc","child","5R4E","B","sSeSQr3C",26,"spad","bae","lee","bae","bae",1
"919","2afc","child","5R4E","B","WjBJQwpl",0,"zup","tay","ka","ka","tay",0
"920","2afc","child","5R4E","B","WjBJQwpl",1,"tomber","tay","ka","ka","tay",0
"921","2afc","child","5R4E","B","WjBJQwpl",2,"zup","ka","po","ka","ka",1
"922","2afc","child","5R4E","B","WjBJQwpl",3,"tomber","ka","po","ka","ka",1
"923","2afc","child","5R4E","B","WjBJQwpl",4,"spad","ka","bae","bae","ka",0
"924","2afc","child","5R4E","B","WjBJQwpl",5,"flairb","ka","tay","tay","ka",0
"925","2afc","child","5R4E","B","WjBJQwpl",6,"tomber","ka","lee","ka","ka",1
"926","2afc","child","5R4E","B","WjBJQwpl",7,"mawg","po","lee","po","po",1
"927","2afc","child","5R4E","B","WjBJQwpl",8,"daygin","po","ka","ka","po",0
"928","2afc","child","5R4E","B","WjBJQwpl",9,"glim","bae","lee","lee","bae",0
"929","2afc","child","5R4E","B","WjBJQwpl",10,"klidam","po","ka","ka","po",0
"930","2afc","child","5R4E","B","WjBJQwpl",11,"spad","bae","tay","bae","bae",1
"931","2afc","child","5R4E","B","WjBJQwpl",12,"klidam","lee","ka","ka","lee",0
"932","2afc","child","5R4E","B","WjBJQwpl",13,"flairb","lee","tay","tay","lee",0
"933","2afc","child","5R4E","B","WjBJQwpl",14,"flairb","tay","po","tay","tay",1
"934","2afc","child","5R4E","B","WjBJQwpl",15,"daygin","lee","ka","ka","lee",0
"935","2afc","child","5R4E","B","WjBJQwpl",16,"mawg","po","ka","po","po",1
"936","2afc","child","5R4E","B","WjBJQwpl",17,"zup","ka","bae","ka","ka",1
"937","2afc","child","5R4E","B","WjBJQwpl",18,"mawg","tay","po","po","tay",0
"938","2afc","child","5R4E","B","WjBJQwpl",19,"klidam","ka","bae","ka","ka",1
"939","2afc","child","5R4E","B","WjBJQwpl",20,"glim","tay","lee","lee","tay",0
"940","2afc","child","5R4E","B","WjBJQwpl",21,"glim","lee","ka","lee","lee",1
"941","2afc","child","5R4E","B","WjBJQwpl",22,"spad","bae","lee","bae","bae",1
"942","2afc","child","5R4E","B","WjBJQwpl",23,"lepal","bae","ka","ka","bae",0
"943","2afc","child","5R4E","B","WjBJQwpl",24,"daygin","ka","bae","ka","ka",1
"944","2afc","child","5R4E","B","WjBJQwpl",25,"lepal","po","ka","ka","po",0
"945","2afc","child","5R4E","B","WjBJQwpl",26,"lepal","ka","tay","ka","ka",1
